pt_nome,pt_enderec,longitude,latitude
"AV. JOÃO PAULO PRIMEIRO , 1598",MQ. DE RECIFE/ R DOMINGOS GAVA,-46.68647454901145,-23.47996152407105
"TERM. CPTM JOSÉ BONIFÁCIO PL 1 , 0",,-46.431483328806216,-23.539417425543128
"R. NATINGUI , 998",DOS MORAS/ R SAGARANA,-46.69739107807384,-23.55533277671648
"R. JOÃO DA SILVA AGUIAR , 35",GIBOIUCUS/ R LUIS CESAR DE MENEZES,-46.39470198829754,-23.542133597126426
"R. VICENTE DÉCARA NETO , 140",UA JOSÉ BARROS MAGALDI,-46.73665503231518,-23.66463622174717
"R. COM. ELIAS ZARZUR , 120",OP. 98/120 - PREV. SOCIAL,-46.701967735038025,-23.65116304339045
"PÇA. VILA ESPERANÇA , 13",OLINDA/ R CALDAS NOVAS,-46.756914070555105,-23.475535376819106
"R. PARNAÍBA PAULIELLO , 230",ALEXANDRE MARTINS RODRIGUES/ R GERALDO SALINI ROMEO,-46.65160827879325,-23.64767394489263
"R. GUIDO BONICI , 303",RAFAEL AUGUSTO PINHEIRO/ R GUIDO BONICI,-46.472231638032035,-23.491717154278565
"R. ARAMBARE , 34",ANTONIO LEBEL/ R BARTOLOMEU ABRIL,-46.5233743199717,-23.580859130387502
"R. BR. DE SANTO ÂNGELO , 55",UA PARAPUÃ,-46.690251557940904,-23.474994488586702
"TERM. METRÔ TUCURUVI 2 , 0",,-46.602392807412976,-23.479702727014022
"R. SOLIDÔNIO LEITE , 2044",JAMAXI/ R PADRE MARCEL CUTSEM,-46.53944952386035,-23.584984099746908
"R. JOSÉ BOCHIGLIERI , 39",UA VENANCIO POLETTI,-46.70924372716214,-23.738142244123157
"PÇA. DAS PROFESSORAS , 0",AV DOS ALAMANDAS/ R FERDINANDO BIBIENA,-46.46799166467034,-23.53588625488516
"AV. DO CURSINO , 6325",ANGELO BERTINI/ AV DOS OURIVES,-46.61427579669489,-23.655355042355872
"R. JOÃO BATISTA DE GODOI , 695",,-46.373425743032854,-23.493688594414863
"R. NESTOR DE HOLANDA , 120",ARMANDO RODRIGUES,-46.58289079258233,-23.525704900142888
"VIAD. DA. MORA GUIMARÃES , 0",JOAQUIM DE SOUSA/ R BERNARDO JOSE DE LORENA,-46.75092669533482,-23.404918847290567
"R. LEANDRO DUPRÉ , 890",AV. DR. ALTINO ARANTES,-46.647247933929435,-23.602555880517073
"R. CIDADE DE BAGDÁ , 943",TERRAS DE CAMBRA/ R EMILIO DE SOUSA DOCCA,-46.656901427912324,-23.65906095148036
"R. LOUREIRO DA CRUZ , 241",RODRIGO CLAUDIO/ R SATURNO,-46.63447958288967,-23.570309856007672
"R. BETIM PAES LEME , 41",UA ANDRE REBOUCAS,-46.759053229108545,-23.50452158697896
"R. BR. DE TRAMANDAÍ , 293",UA CATAUXIS,-46.56148684235268,-23.59952207252545
"R. CAROLINA SOARES , 570",LAGOA AZUL/ R DIOGO DE OLIVEIRA,-46.66854948740103,-23.49985665850636
"AV. DR. CHUCRI ZAIDAN , 246",UA BALTAZAR FERNANDES,-46.697517485882386,-23.61736893940713
"R. AFONSO BRAZ , 446",BARRA DO PEIXE/ R ESCOBAR ORTIZ,-46.66833314351011,-23.595534826349745
"R. PASTORIL DE ITAPETINGA , 73",S JOSE DO CAMPESTRE/ R EUDELIO RAMOS,-46.50791197859585,-23.50151803472355
"AV. PE. ANTÔNIO JOSÉ DOS SANTOS , 77",Av. Santo Amaro,-46.68088036192098,-23.61521589160872
"R. GONZALO BERCEO , 129",ANACREONTE/ AV ADELINA ABRANCHES,-46.68152995717293,-23.77241022300248
"R. MAZZINI , 61",SCUVERO/ R JOAQUIM PIZA,-46.62637044864726,-23.56319686271417
"R. SACADURA CABRAL , 71",SACADURA CABRAL/ R CORUMBATAI,-46.712241967939605,-23.521197680777092
"R. ENCRUZILHADA DO SUL , 0",JOAQUIM DE SOUZA BRITO/ R OLIRIA FARIA DE LIMA,-46.70734163166829,-23.461508372346522
"AV. ITAQUERA , 2931",GUIOMAR DE ATALIBA PENTEADO/ R OLGA SILVEIRA CAMPOS,-46.49439493981828,-23.55245216435821
"AV. PEDRO BUENO , 552",UA JOÃO GABI,-46.648878162809325,-23.63540893100377
"R. DOMINGOS PEIXOTO , 458",CORREIA BUENO/ AV BARONESA DE MURITIBA,-46.47349585734894,-23.62237637951149
"AV. MIN. PETRÔNIO PORTELA , 2247",SEM NOME/ R TOMAS DE KEMPIS,-46.695790621653316,-23.480182510396403
"AV. INAJAR DE SOUZA , 3750",ALDO LACRETA,-46.6733004417169,-23.47845453716195
"AV. TEODORO BERNARDO DO NASCIMENTO , 637",FRANCISCO MONTEIRO TAVARES/ R JOAO BARBOSA DE LIMA,-46.41015210390962,-23.521010485750608
"AV. ANGELINA , 359",ENGENHEIRO CIAMPITI/ TR DORIDE,-46.59777183319382,-23.50230382596119
"R. ANTÔNIO FERREIRA DE CASTILHO , 388",ua José Pedro de Carvalho Lima,-46.7285897243134,-23.62285104012508
"R. CARMEM CUNHA , 257",BR. DE SUACUNA/ R SERRA DE MARACAJU,-46.7142716560452,-23.45506031505009
"R. MANUEL FIGUEIREDO , 42",UA CORREIA LACERDA,-46.523963308268954,-23.573291116567066
"R. FREI ANTÔNIO FAGGIANO , 637",ANTONIO PASSY/ R BOB MARLEY,-46.43187935136197,-23.552285447957463
"AV. ATLÂNTICA , 3813",AV PARANOPOLIS/ PC PROFESSOR MELLO E SOUZA,-46.71529632426506,-23.70111020093509
"AV. HÉLIO PELLEGRINO , 1200",THERESA DE CAPUA/ R UBERABINHA,-46.677037221376025,-23.598253848416658
"R. AGENOR KLAUSSNER , 197",UA GEN. JOSÉ CORRÊA,-46.689415975937365,-23.769731240860445
"ESTR. DO ALVARENGA , 5124",HORNI/ R ZILIC,-46.6333947216769,-23.716263119290325
"ROD. ANHANGUERA , 11072",EST TURISTICA DO JARAGUA/ AV JORN. PAULO ZING,-46.757998168492975,-23.494474523042012
"R. ENG. GUILHERME WINTER , 0",SANTO EUGENIO OLIVI/ AV DOUTOR RICARDO JAFET,-46.62139557458554,-23.59643792949501
