nomesc,latitude,longitude
CIRANDINHA PROGR. DE DES. INF.,-23.623079,-46.755939
COPO DE LEITE ESC. DE EDUC. E RECR.,-23.636407,-46.735267
HABITAT PRE ESCOLA INFANTIL,-23.628241,-46.734893
ESCOLA NOVA ALVORADA RECR. E  EDUC. INF.,-23.636632,-46.75229
PITUKINHA EDUCACAO INFANTIL,-23.642567,-46.744682
A NOSSA CASA DA CRIANCA,-23.67118,-46.744025
ABILIO CESAR,-23.68708,-46.780615
ARCO,-23.724173,-46.77303
ARRASTAO,-23.634447,-46.777028
CASA SAO JOSE LAR DA INFANCIA,-23.635109,-46.759913
CEDRINHO I,-23.666906,-46.732664
"AGLAEZINHA I, COMUNIDADE INFANTIL",-23.679514,-46.77218
ESTRELA NOVA,-23.641669,-46.773232
HORIZONTE AZUL,-23.746624,-46.779306
ANTONIO RODRIGUES,-23.676072,-46.785337
JARDIM KLEIN,-23.67391,-46.747728
JARDIM MITSUTANI,-23.646524,-46.787276
JOAO PEDRO RODRIGUES,-23.68426,-46.753246
LAR DE AMOR MEIMEI,-23.663456,-46.75539
MAE ZAZA - NUCLEO I,-23.72025,-46.764491
MAE ZAZA - NUCLEO II,-23.720805,-46.763811
MARIA IZABEL,-23.657738,-46.73635
NOSSA SENHORA DA PAZ,-23.69263,-46.781716
NOSSA SENHORA DO BOM CONSELHO MAE DE MISERICORDIA ,-23.647522,-46.756614
NOSSA SENHORA DO CAMINHO I,-23.701082,-46.745285
ANA CLAUDINA DE CARVALHO FERRAZ DE CAMARGO,-23.628716,-46.746144
FLAMBOYANT,-23.746825,-46.777863
SANT ANA,-23.700347,-46.768996
SAO SEBASTIAO,-23.641213,-46.785815
SOSSEGO DA CRIANCA,-23.668848,-46.780337
SAO JOSE OPERARIO I,-23.676738,-46.767117
WALTHER SOMMERLATH,-23.653043,-46.781331
JARDIM CAPELA,-23.729935,-46.787514
CEDRO DO LIBANO I,-23.666906,-46.732664
CEDRO DO LIBANO II,-23.666906,-46.732664
PIRRALHINHOS I,-23.668556,-46.746384
"EMILIO PATERNOSTER, PE",-23.749035,-46.780957
LAR MARIA ALBERTINA,-23.661382,-46.740233
JOSE CLAUDIO VIEIRA,-23.692838,-46.748048
"CASINHA DOS SONHOS, N.D.I. UNID II",-23.675911,-46.760213
"CEDRO DO LIBANO III, CEI",-23.666906,-46.732664
"CEDRO DO LIBANO IV, CEI",-23.666906,-46.732664
"JARDIM ELEDY, PRE-ESCOLA",-23.650889,-46.785093
SAO GREGORIO BABY,-23.644871,-46.741748
CRIANCA E CIA,-23.622394,-46.753073
CEDRINHO II,-23.666906,-46.732664
